distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
12235.5,1928,191.2,144.6,1815,74.4
12268.9,1961,191.5,144.6,1715,28.3
12246.0,1983,191.3,144.6,1905,74.4
12242.2,1963,191.2,144.6,1544,31.2
12250.1,1958,191.2,144.6,1860,74.2
12261.3,1818,191.2,144.6,1582,31.6
12257.0,1768,191.1,144.6,1562,29.0
12247.6,1944,191.3,144.6,1837,74.4
12268.9,1827,191.3,144.6,1643,31.7
11394.4,2454,211.7,173.6,2248,104.7
12259.2,2092,191.2,144.7,1900,72.4
12251.7,1841,191.2,144.6,1576,28.7
12259.8,2535,191.2,144.6,1953,74.3
12292.0,1952,191.2,144.6,1784,74.4
12291.0,1745,191.4,144.6,1585,30.7
12256.9,1882,191.2,144.6,1719,46.3
12292.1,1867,191.2,144.6,1713,0.0
12247.6,2005,191.4,144.6,1827,46.3
15446.1,2455,207.2,176.8,2331,82.9
12268.3,1989,191.2,144.6,1812,46.3
12293.0,1836,191.3,144.6,1536,0.0
15286.2,2416,199.0,144.6,2290,67.5
12292.1,1713,237.4,185.1,1584,206.9
15282.4,2753,199.0,144.6,2651,67.4
12338.5,1872,237.8,189.3,1616,250.5
12271.6,2124,191.2,144.6,2014,46.3
12315.3,1957,191.2,144.6,1613,0.0
12287.0,2032,191.4,144.6,1858,46.3
12262.1,1747,191.2,144.6,1424,0.0
12280.6,1950,191.3,144.6,1857,46.3
12252.9,1682,241.9,191.8,1552,203.9
66389.3,10553,323.0,147.6,9878,623.0
12266.9,1965,191.2,144.6,1752,46.2
12262.5,1759,191.2,144.6,1607,0.0
12360.4,1906,191.2,144.6,1854,46.2
12247.0,1669,191.2,144.6,1419,0.0
14103.6,3163,193.5,144.6,2353,48.0
12342.9,1878,191.2,144.7,1646,0.0
12254.3,1962,191.3,144.6,1817,46.3
12260.9,2365,191.2,144.6,1625,0.0
12272.5,2365,191.2,144.6,1770,46.2
12282.3,2071,191.6,144.6,1775,0.0
12254.5,1830,191.2,144.6,1731,46.3
12257.5,2278,238.9,192.2,1739,209.5
48786.9,8080,191.2,103.1,7221,131.0
31580.1,5431,110.2,103.7,4308,0.0
14214.2,2214,191.4,140.9,2111,0.0
171437.0,35590,508.8,92.9,30279,1876.7
12265.2,2009,191.2,144.6,1926,46.2
12266.4,2364,191.5,144.6,1798,0.0
15395.6,3111,220.0,140.9,3048,133.0
12273.4,2162,191.2,144.6,1728,0.0
12291.6,2097,191.2,144.6,1988,46.3
12506.8,2050,244.3,193.0,1797,235.7
12277.7,1987,191.2,144.6,1897,46.3
12392.6,1866,191.3,144.6,1741,0.0
36228.4,7512,151.0,106.5,6768,74.4
36291.4,8233,131.4,78.4,6610,103.8
51920.2,10023,200.9,106.0,9285,173.6
14133.6,2406,191.2,140.9,2264,0.0
12284.1,1941,191.4,144.6,1739,0.0
15373.4,3124,217.4,140.9,3058,132.5
12238.2,1874,191.3,144.6,1604,0.0
95830.6,22632,191.2,103.0,19525,170.7
16328.8,3087,245.5,188.3,2918,446.5
86795.1,20706,252.0,127.7,15962,492.3
37562.6,7820,151.0,103.1,6252,79.6
18540.6,5226,117.0,102.7,3742,13.5
58862.2,13061,206.2,98.1,11210,179.9
14341.9,2385,191.6,140.9,2265,0.0
